id,temps,id_race,rang
00486ec342298f42a332eb66576e144b,3666.0,R2,12
01ebc32c6fe5cf2031d5bda521ac4197,3057.0,R13,29
02ccfa5851ee3983b8b0dd56077cbff0,3483.0,R6,19
02f28eac7a3515c095a0c5d206c63bd7,3015.0,R13,21
05213e3bdfc9e625003d173b9f5849f1,3717.0,R2,16
066b9d1f96596e66e390f5921c1a8a6a,3873.0,R4,19
09891c0543dc6bb65f610040e7006110,3000.0,R13,18
0a4b132e64a5b2019941b6768b758f6a,3738.0,R3,7
0ac88198b391c1e7a984a00b1bae56df,3042.0,R13,24
0b2ed054db2e8f80783aa7cf0ee10eb6,3837.0,R12,43
0c630e654df1bb41e226aefa19011be3,3831.0,R12,40
0c6ad244a5135580250f658b145e7a06,3489.0,R4,2
0c7457a2f6c3094e223609ecbc3474c2,3462.0,R2,1
0dd4febbb82d3f534265e102b3ecc358,3006.0,R13,19
0de9298a8802db6f273579146e53c9be,3216.0,R1,18
0e1c1c90f1cd80f723cbc5d9f22ddd4c,3141.0,R22,8
0e4602d8c001e1c42137a6b7ecc53615,3105.0,R13,38
0e5515cbb10cbf88ac0966e8592b3277,4059.0,R3,25
0ecc999cf4a83740cacdc4657cb6c250,2946.0,R14,5
0f3f02bbad5b097c05771f95c6bfef41,3519.0,R2,3
10701e69bab2ee675901d89f4839d9a3,3636.0,R12,12
12c23cfd09b902d1be1e6a7dbdc47104,3672.0,R12,17
1363d685b72c1121525b22b693051628,3114.0,R5,4
1394717cb834365dd132319a820e5d94,3990.0,R4,22
13d5aea27ca0152eacf470d527da15d8,3675.0,R3,4
153719d5fd4482aef6320a579a32df74,3024.0,R1,4
15bb277f566fcc4e177060d0b9963bab,3147.0,R1,13
16b23c99b4262101fec02a7145bcac6a,3633.0,R2,9
1786505efe1c284cecc04a9b70c51bf7,3108.0,R13,39
185216fc4a0542ec0b9b9a14f748eba0,3501.0,R12,2
19202de46cc353f87cd355a699628889,3624.0,R12,9
1a031572339156a659c0bbf92f09a7f6,2871.0,R13,7
1bacce9535862fffe28503b5fb88b801,2871.0,R13,8
1ce408d2f8770d68400db19b03030301,3054.0,R13,28
1d7153b8e2eaff3a73d9e91d2cf3571a,3621.0,R2,8
1dbcb8f6ca48e2729d098ef0f3eb9f50,3783.0,R3,10
1dc34f4b50cf98a3824a69cb107a316d,3591.0,R12,5
1dd2855d6e546b10b53ae862ae842459,3198.0,R13,47
1e301e4c11f684f1a1f5400fc07a9aa8,3783.0,R12,29
1ee387c05dbf821e4ad81dae5bef2d53,2904.0,R13,9
1fa56666ac3d53bb7f91c2a6b9d4f50d,3819.0,R12,37
1feae9299d3459e8bb3681c5f7c59c37,3090.0,R13,34
222440a60e50772b3ea3da1cdcf7a7e2,3642.0,R3,3
23c4492bb7bc741c8838d1b16600f263,3828.0,R12,39
241998adcd55696adface023a4f07ccc,3099.0,R13,36
2456f6ce9944073a22257add107e4faa,3636.0,R3,2
24b4bbac5fddf1f1272c1ef58d9e0fb9,3228.0,R14,40
26597808a2d8ffa5cd1c04b950807b1d,3192.0,R14,34
2726368031203ebb7b6b64fc0be3f456,3879.0,R3,17
274d4dfe5cceb694af4320dd59364e3a,2991.0,R14,8
284e74ce36862e4a8eeb1aa8e15fc9eb,3525.0,R6,25
285e1da39c3e2efbc13ff37365db5e73,3048.0,R14,13
2886ada6bd8871b4e6c6f3ddd41694c4,3867.0,R3,14
28dca7b8189ebe2b99e1a1f2896ec02f,3120.0,R13,43
28f1241cfc20779bbd50db65a0fed406,4344.0,R21,7
2a55f5afc5239a6dacc06ceaf4894c31,3591.0,R12,6
2b7af4ac1079c5eeb422c8b98e34d28e,3561.0,R4,3
2b8debe5916483916a4f95c3fe8ad97f,3060.0,R5,1
2ba73372be745d52f94bf7b27564daab,3780.0,R4,14
2bfcbfe9abaab71da5df16b39bafcb88,3762.0,R12,25
